name,"Number of Reviews, Minimum Nights Correl",minNights,Total Reviews
Convenient Location Near Loyola/Northwestern,13.0,2,26
2-Bed/2Bath apt close to UIC and Hyde Park,13.0,2,26
"Steps to MI Ave Shops | View, Beach, Gym | Zencity",13.0,2,27
Art Gallery condo,13.0,2,27
The Logan Square Guest House (Free Parking!),13.0,2,27
Logan Square Studio - no cleaning fee,13.0,2,26
H1- A Block to Wrigley Field - UpTo5Guests,13.0,2,27
Sonder Jewelers Row | Superior Two-Bedroom Apartment,13.0,2,27
Bright two bedroom garden apartment,13.0,2,26
Magical Elf Quarters,13.0,4,52
King size bed suite 2 BR 2 BTH  10 min to Downtown,13.0,2,27
Cornerstone - Mins from Downtown & Lake Michigan,13.0,2,27
"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",13.0,1,13
Newly Renovated 3 Bedroom 2 Bath Apartment,13.0,2,27
Centrally Located Unit in E Pilsen's Art District,13.0,2,27
Entire Rental Unit •1 BD•Cozy•Luxury•5 mins fr DT,13.0,2,26
Logan Square Oasis,13.0,3,39
Charming 1 Bedroom Apartment - NorthCenter/Roscoe,13.0,2,27
Cozy Lincoln Park 3br Home near Zoo | Lake | Shops,13.0,2,27
Trendy West Town Flat - 2 bed / 1.5 bath w parking,13.0,2,26
Cheerful 2+ bedroom home w free parking,13.0,3,41
7B2eih3 Cozy Night's Stay -Queen Bedroom7c4/,13.0,1,13
Cozy and modern one bedroom in lovely Mayfair!,13.0,2,26
Avondale Oasis Floor 2,13.0,2,26
"Rogers Park Cozy 1 bd, 1 bath unit. Gated parking.",13.0,1,13
Modern 2 bdrm apt near O'hare and Downtown,13.0,3,40
2 bedroom | 1.5 bath | Bucktown near blue line,13.0,3,39
Beautiful 5BR/3.5BA Home - West Town - w/garage!,13.0,3,40
Wrigleyville Guesthouse,13.0,2,27
Urban Mansion! Rooftop | City Views | BBall Court!,13.0,1,13
PRIVATE 2-bedroom 1.5 bath w/ living room,13.0,3,41
Uptown Apartment | 🏖 Steps from Beach | WFH Ready,13.0,1,13
Dazzling Condo in Wicker Park with Parking & Patio,13.0,3,41
Entire Lincoln Park One Bedroom Apartment,13.0,2,27
"Beautiful Loft 5 min to the Loop, Free Parking",13.0,4,54
Welcome Home,13.0,3,41
"West Loop, United Cntr Rush Medical Cntr Area",13.0,3,40
NEW 3BDR/1BA | Irving Park |FREE str P & 250 mbps,13.0,2,26
Sparkling Clean Large Queen Suite w Sleeper Sofa in Lincoln Park (201),13.0,2,27
Fuzzy Master Bedroom (Entire Apt),13.0,2,27
Fully renovated 3BR 2BA top floor in West Town!,13.0,2,27
Historic Alta Vista Terrace District,13.0,3,39
A comfortable retreat in a vintage city cottage,13.0,2,27
Chicago Getaway,13.0,2,26
Stylish 4 Bedroom / 4 bath in the Loop | Sleeps 12 | Roof Deck,13.0,2,26
"Staypineapple Chicago, King Suite Mobility Acc",13.0,1,13
🏠 6 BR 4 BA Victorian Family Retreat,13.0,3,39
City sanctuary Dog friendly! 420 friendly!,13.0,1,13
Cozy retreat in Roscoe Village,13.0,1,13
Huge Victorian!-- Southern Charm!-- United Center!,13.0,2,27
Bright 2bd/1ba btw Downtown & O'Hare,13.0,4,53
Lincoln Park Getaway Chicago Subway Themed Unit 1,13.0,2,27
"As seen on NBC’s hit series, “Chicago Fire!”",13.0,3,40
Charming Logan Square Coach House,13.0,3,40
Private room with 2 twin beds in Chicago rowhouse,13.0,2,27
Spacious apartment in Budlong Woods/Lincoln Square,13.0,3,41
Cozy 3 bedroom Apt Andersonville Neighborhood,13.0,3,41
Chicago Loop one bedroom/one bathroom Apartment,13.0,3,40
3 Bedroom Across from Wrigley Field AllStar Suite,13.0,1,13
Exclusive and Spacious Pilsen Guest House,12.0,1,12
Lovely 2 Bed. 3 Miles from DT w/ Free Parking,12.0,1,12
Contemporary 2BR Lakeview Apt close to Restaurants,12.0,1,12
Sonder The Opal | Three-Bedroom Apartment,12.0,2,24
10% Winter Promo! Complete 1BR Close to Attraction,12.0,1,12
Neat & Comfortable 1BR Home close to City Center,12.0,1,12
10% Winter Promo! Stylish Studio w/ Modern Kitchen,12.0,1,12
10% Winter Promo! 1BR Magnificent Apt in Chicago,12.0,1,12
Lovely 2 bedroom Boutique Suite in Beverly.,12.0,1,12
Cheerful 1 bedroom with Jacuzzi&dryer&minikitchen,12.0,1,12
10% Winter Promo! Ravenswood Lovely Studio Apt,12.0,1,12
Historic Masterpiece Home in Ravenswood Manor,12.0,2,24
LAVISH LINCOLN PARK Home w/ Patio +attached garage,12.0,2,25
South loop/Pilsen Privateroom 1,12.0,1,12
10% Winter Promo! Calming 3BR Apt with Patio,12.0,1,12
"Huge lovely bedroom, Wi-Fi, Netflix, parking, Loop",12.0,1,12
Luxurious 4br Gold Coast Duplex Penthouse/sleeps 8,12.0,2,25
Explore North Side Chicago from Modern Studio APT,12.0,1,12
Beautiful private  apartment completely Renovated.,12.0,2,24
Charming King Bedroom in Loop,12.0,1,12
Gorgeous 1bd/1ba in the Heart of Logan Square,12.0,1,12
BOYSTOWN / WRIGLEY PRIME LOCATION WALK EVERYWHERE,12.0,1,12
Stylish 3 bedroom condo in fabulous Logan Square,12.0,2,24
Fantastic Home in Wicker Park,12.0,2,25
"Large Remodeled Home in Lincoln Park, Sleeps 12!",12.0,2,25
Captivating 2 Bedroom rental unit,12.0,3,37
Art Park #10 - Mich Ave Penthouse | gym+rooftop,12.0,2,25
Cheerful Bedroom with free parking on premises,12.0,2,25
McCormick Place 2b/2b w optional parking/sleeps 6,12.0,2,24
Elegant Hideaway in the Heart of Andersonville!,12.0,3,38
Chicago Charm | Parking! w/In-Unit Laundry,12.0,2,24
West Town Penthouse - Luxury Views Near Downtown,12.0,2,24
#3 Comfy private bedroom shared bath near Downtown,12.0,1,12
#4Comfy private bedroom shared bath near Downtown,12.0,1,12
Rustic Private BR - 5 min to Chinatown & Downtown,12.0,2,24
MODERN 2BR APARTMENT|WEST LOOP| FREE PARKING|,12.0,2,25
Vibrant & Modern 3-Bedroom Stay in Logan Square,12.0,2,24
"M4. Next to Downtown, Best location and affordable",12.0,2,24
"L4. Next to Downtown, best location",12.0,2,25
i1- Right in front United Center&Next to Downtown,12.0,2,24
"M1. Next to Downtown, best location",12.0,2,24
Central Chicago Suite (#2): Access to Patio!,12.0,2,24
"Edgewater Studio 3blks to Beach, Train, WholeFoods",12.0,2,24
Queen Bed 9min to Downtown + Free Street Parking,12.0,2,25
Modern Apt. In Walkable Irving Park neighborhood,12.0,2,25
Spacious 3 bedroom/2 bath with parking,12.0,2,25
Spacious 1-bedroom South Loop Loft I Sleeps 4,12.0,3,37
Beautiful 3bedroom apartment! (2nd floor),12.0,1,12
The Beverly Gem,12.0,2,24
Live Local Private Sanctuary; 1 BR/WFH/PVT ENTR.,12.0,2,25
"Cheerful 3 Bedroom, City Oasis",12.0,1,12
"UC, McCormick, HydePark002, Chinatown, freeparking",12.0,1,12
Lovely 3 bedroom condo outside of West Loop,12.0,1,12
Entire Garden Unit in Lincoln Park (+parking),12.0,1,12
SUNSHINY 3 BEDROOM CONDO WITH ROOFTOP,12.0,2,25
Brilliant 2BR/2BA Loft I Superhost I Sleep 6,12.0,3,36
Old Town Penthouse. 6 Blocks to Historic Wells St.,12.0,3,38
Lovely 3 bedrm fully serviced apt w/ free parking,12.0,1,12
Spacious 2 BR/1 BA in Logan Square,12.0,2,24
Ukrianian Village Duplex 4 bed/3 bath,12.0,2,24
Spacious & Sleek- 4BD/2.5BA -Logan Square Chicago,12.0,3,38
Lakefront Villa | Rooftop | Party Oasis | Parking,12.0,2,25
Lovely 3 bedroom Duplex Apartment W/ Game Room,12.0,1,12
Vintage Apartment Flat in Lincoln Park!,12.0,2,25
Superior Garden - 2BR 2 Bath West Town Condo,12.0,3,36
Prime location! Bucktown bungalow w/ parking!,12.0,2,25
"Steps to MI Ave Shops | View, Beach, Gym | Zencity",12.0,2,25
Newly Remodeled Spacious DUPLEX + Private Parking!,12.0,3,36
Bright & Clean Apt in Front of Lovely Park!,12.0,2,25
City views,12.0,4,48
Welcome to the Wrightwood - Chic & Newly Renovated,12.0,3,37
5 min to all Chicago major Attractions,12.0,4,49
Top Floor 2 BR Apt in Classic Greystone,12.0,2,24
Spacious 1 bed/1 bath in the Heart of West Loop,12.0,3,36
Private Bedroom in Chicago By Lincoln Square,12.0,2,24
WF Home Sweet Home,12.0,2,25
Studio Just across from the BEACH!! 209,12.0,1,12
Private Room C & Self Check-IN/ Jackson Blvd,12.0,2,25
Marvelous+Massive 3 Story Townhouse by Chicago DT,12.0,3,36
Lavish Private Room & Bathroom - Humboldt/Wicker,12.0,2,25
South Shore Bungalow studio apt beach 10 min walk,12.0,1,12
"Cozy Private Room N Bath Nearby Dtwn,Rush and Uic",12.0,1,12
Beautiful Spacious 3BR/1BA The Davlin Inn Chicago!,12.0,3,36
Lovely Studio @RiverNorth close with #Balcony✭,12.0,3,37
Bronzeville Oasis(Row House),12.0,2,24
Cute and Cozy Bronzeville Garden Apartment,12.0,3,36
Chicago Tropical Condo (+Complimentary BIKES),12.0,2,25
The Wrigleyville VIP-200 Steps from Wrigley Field,12.0,2,25
Heart of Downtown Chicago Michigan Avenue,12.0,1,12
Large Lincoln Park Apartment 1 Bedroom,12.0,2,25
Chicago (Upscale Neighborhood) Multi-Unit Estate,12.0,3,37
Halo Factory -Cozy E Garfield Pad,12.0,7,90
Spacious basement suite,12.0,3,37
Huge Bright Modern 2BR Home in Heart of Bucktown,12.0,3,37
Cozy one bedroom apartment close to OHare/Rosemont,12.0,5,60
"Large & Cozy, 1BR Lincoln Park Condo. Great Value!",12.0,7,84
The Bucktown House - Historic Coachhouse Since '08,12.0,4,50
Private Room in Lincoln Park Condo,12.0,1,12
Magic Factory Loft 2West Spacious Bright,12.0,3,37
Cozy Vintage Modern 1bd Apt in Chicago,11.0,1,11
2BR Andersonville Apt near Local Cafes and Stores!,11.0,1,11
Floor to Ceiling Windows 1 Bedroom Corner Unit,11.0,2,22
Newly Remodeled 1-Bedroom Near Shops & Restaurants,11.0,2,22
Cozy 3-bedroom Edgewater getaway with free parking,11.0,1,11
1BR Elegant Unit in Chicago,11.0,1,11
Portage Park Modern Minimalist Studio Apartment,11.0,1,11
10% Winter Promo! 1BR Rogers Park Apt w/ King Bed,11.0,1,11
Private King Bedroom in Heart of Downtown Chicago,11.0,1,11
McCormick Pl 420 friendly 3b/2b/Parking/sleeps 8,11.0,2,22
10% Winter Promo! Deluxe 1BR Apt in Ravenswood,11.0,1,11
Historic 2 bedroom Condo in Chicago,11.0,1,11
King Bedroom in Theatre District,11.0,1,11
Historic Studio Near UChicago & DT by Zen Rentals,11.0,2,23
McCormick Pl Patio skyline 3b/2b Parking,11.0,2,22
Aesthetically Vibrant 2BR Apt in Lincoln Square,11.0,1,11
Urban Escape w/skyline views!,11.0,2,23
"K2. Best Location, Next to Downtown",11.0,2,22
"K1. Best Location, next to Downtown",11.0,2,22
Large 5BR House*4 Parking*Downtown 15min*Sleep 15*,11.0,2,23
Comfort for the entire family off of the 606,11.0,2,23
A2 Private Room by Chinatown,11.0,2,22
Lovely 1-bedroom serviced apartment near Museums!,11.0,2,22
Cheerful Bedroom with free street parking,11.0,2,23
3BD Home Mins from Airport | Free Parking + WiFi,11.0,2,22
Exclusive Condo Steps from Old Town + Lincoln Park,11.0,2,22
Stylish 3BR with tons of natural light & backyard,11.0,2,22
Lovely 3-bedroom condo with indoor fireplace.,11.0,1,11
H3- A Block to Wrigley Field - UpTo5Guests,11.0,2,23
"L3. Next to downtown, best location",11.0,2,23
Lovely - 2BR 1st Floor Apart. w/ Free St. Parking,11.0,2,23
Lively Stay Steps from North Ave Beach,11.0,3,34
Self Check-in 8 min Downtown Chicago,11.0,1,11
Bright Victorian steps from beach in South Shore,11.0,2,22
Lovely & Peaceful Space,11.0,1,11
FAMILY STYLE ON THE MAG MILE,11.0,2,23
Safest Area newly renovated next to Wrigley Field!,11.0,3,33
Logan Square Garden,11.0,2,23
Modern 4BR just a block from CTA pink line with Pool table Free Parking,11.0,2,22
Nice spacious apartment in wicker park,11.0,1,11
"Beautiful 4 bed, 2ba home, peaceful , no chores!",11.0,3,35
Taste The Luxury !   On the Boulevard,11.0,2,23
Adorable Private Edgewater Suite,11.0,2,22
Deluxe  UK Village 2bedroom/ 2bath w/patio,11.0,2,22
Lincoln Park Charm + On site Parking Included!,11.0,3,33
7C3eih1 Cozy Night's Stay - Small Cozy Room,11.0,1,11
Spacious 3 bedroom Condo w/ modern amenities,11.0,2,23
Walker’s Paradise & A Garage Space,11.0,3,34
2 bdrm close to dwntwn/Midway w/ free parking!!,11.0,1,11
No checkout chore condo near the United Center,11.0,3,34
University Manor upscale mansion for campus visits,11.0,2,22
"King Suite w 3 Bed, 2 Bath, W/D, Full Kitchen on Clark Street near the Zoo (501 PH)",11.0,2,22
Best Location in Hyde Park apartment,11.0,3,35
Modern Room in a Chicago Bungalow,11.0,1,11
Master bed  Private Half Bath & Balcony  Free Park,11.0,1,11
"Massive Deck, Sauna & Dog Friendly - NEWLY UPDATED",11.0,3,33
"The Robey, Landmark Queen",11.0,1,11
Private Quad Ensuite,11.0,5,57
Elite Double Room,11.0,1,11
Spacious & Bright 1PBR Heart of Wicker Park,11.0,1,11
"Chicago StadiumThemed Apartment, Ukrainian Village",11.0,2,22
Bright and spacious. Heart of Little Village. 3BR,11.0,5,58
Vintage Wrigleyville 3BD/2BR Free Parking,11.0,3,35
PRISTINE PREMIER LUXURY 3-STORY GREYSTONE HOME!,11.0,3,33
"A Hidden Gem, only 10 mins to downtown Chicago!",11.0,1,11
Beautiful cozy place G1,11.0,2,22
Clean & Best Location 2BR+2BA | Mapletree Suites,11.0,2,23
Home Away From Home 2,11.0,2,23
Charming House in Lakeview - 1895. Walk to Wrigley,11.0,4,44
"Stylish Two Bed, One Bathroom",11.0,2,22
Soft Palate & Warm Bricks at a Rogers Park Home,11.0,2,23
Downtown Gem *Patio *Parking *Huge,11.0,2,22
Sunny & Spacious Private Apt in Artist’s Home,11.0,1,11
"Entire Top Floor of Duplex, Near O’Hare & Downtown",11.0,2,23
Amazing Lincoln Park Rowhouse!!,11.0,2,22
03. Private Room in Shared Apartment - 3 mi to NWU,11.0,1,11
"Old Irving Park 2 bd/1 ba, 20 mins to Downtown",11.0,4,47
The Treehouse Apt in Logan Square,11.0,5,56
Entire apt all yours. Reserved guests n apt only!,11.0,3,33
Private Entry Apt By ORD/Rosemnt/Transit+Easy Park,11.0,2,23
Private bedroom in Lovely Condo near Lake,11.0,1,11
Lovely Logan Square Suite for Two,11.0,4,46
A cozy convenient place to rest between adventures,11.0,2,22
1BD Suite @ The Guesthouse Hotel,11.0,3,33
Private bed/bath in beautiful home,11.0,3,34
10% Winter Promo! Goose Island Well-Decorated 1BR,10.0,1,10
Bright 2BR-2BA steps from The Bean & Michigan Ave,10.0,1,10
"Centrally located, spacious and full furnished",10.0,1,10
2-bedroom unit,10.0,1,10
Pilsen new 2 bed 2 bath. Voted Cool AF by Forbes!,10.0,1,10
"CUTE, PRIVATE & QUITE STUDIO 1BD/1BA Wicker Park!!",10.0,1,10
Beautiful 1 Bedroom with view,10.0,1,10
10% Winter Promo! Comfy Studio Close to Boystown,10.0,1,10
Spacious Modern West Town Apt | In-Unit W/D,10.0,2,20
2BR Bustling & Lively Apt near N Broadway,10.0,1,10
10% Winter Promo! Stylishly Furnished Studio Apt,10.0,1,10
Modern Guest Suite With Patio,10.0,1,10
8L1 Cozy Private Full +Twin Bedroom  near Chicago,10.0,1,10
2 BR Apartment Near the 606 - Great location!,10.0,2,21
10% Winter Promo! Lakeview 1BR Apt Near Shops,10.0,1,10
"UChicago, Shops + Eats, Lake | Gym + W&D | Zencity",10.0,1,10
Casa Magnolia Mini-Mansion Bedroom,10.0,1,10
Amazing Enormous  Fun City Loft : next to train!,10.0,1,10
UChicago 1BR with Fast Transit DT by Zen Rentals,10.0,1,10
Historic Studio Near UChicago & DT by Zen Rentals,10.0,2,20
"Perfectly Located, Bright 2B/1BA Urban Oasis",10.0,1,10
i4-Right in front United Center&Next to Downtown,10.0,2,20
The First Floor of Abigail’s Palace,10.0,1,10
McCormick Place 2b/2b w optional parking/sleeps 6,10.0,2,20
EXQUISITE 4 BEDROOM MULTI-LEVEL BEAUTY,10.0,2,20
Upscale Home in Lincoln Park Minutes from Downtown,10.0,2,20
10% Winter Promo! Classy 2BR Spacious Apt Good Loc,10.0,1,10
McCormick Pl 420 friendly 3BR/2BA/sleeps 8/Parking,10.0,2,20
McCormick Pl 420 friendly 1br/1ba parking/sleeps 4,10.0,2,21
McCormick Pl 420 friendly 2br/2ba parking/sleeps 6,10.0,2,21
Hyde Park/UC Modern Private Room 2,10.0,1,10
"*Steps to Mag Mile, 2 BD , fast Wi-Fi, W&D",10.0,2,20
Sheffield Ave Gardens - 1 Minute Walk to Wrigley!,10.0,2,21
LOVELY 2 BEDROOM/NEAR MCCORMICK PLACE AND DOWNTOWN,10.0,1,10
23rd St Modern 2 Bedroom with Parking - McCormick,10.0,2,20
McCormick 420 friendly 2br/2ba/parking/sleeps 6,10.0,2,21
McCormick Pl Stylish corner unit/parking/sleeps 6,10.0,2,20
01b.  Twin bed in shared bedroom - 3 mi to NWU,10.0,1,10
McCormick Pl Stylish corner unit/parking/sleeps 6,10.0,2,21
McCormick 420 friendly 2br/2ba/parking/sleeps 6,10.0,2,20
4/2 Home w/ Gourmet Kitchen | Near Wrigley,10.0,2,21
Fun / Bright / Cubs Apt | Near Wrigley!,10.0,2,21
🏆🍇🍑CRÈME DE LA CRÈME OF COMFORT,10.0,2,20
Prestigious Full Amenities 2BDApt @Gold Coast | C9,10.0,2,21
Magnificent 2BD Apartment @Gold Coast By C9,10.0,2,21
"M3. Next to Downtown, Best location",10.0,2,20
Entire 1-bedroom Apartment in Vintage Bungalow,10.0,2,20
"L1. Next to Downtown, Best location",10.0,2,21
Queen Bed 9min to Downtown + Free Street Parking,10.0,2,20
Queen Bed 9min to Downtown + Free Street Parking,10.0,2,21
Contemporary Retreat living flat in Bronzeville.,10.0,3,32
Chateau Noir ~ Bronzeville condo 7 min to downtown,10.0,2,21
Lovely Apartment in Chicago,10.0,1,10
"K3. Best Location, Next to Downtown",10.0,2,21
Office Room Style - 9min to Downtown & Chinatown,10.0,2,20
Cozy Cove - Chicago,10.0,1,10
"Modern, Stylish West Town Loft with Pool Table",10.0,2,20
Wrigleyville 2 bed 2 bath + Office Newly Rehabbed,10.0,3,30
Cheerful 2-bed/sunroom unit with great location!!!,10.0,3,30
Cozy 2 bedroom updated private apartment near UofC,10.0,2,21
The Belden Belle: The Luxurious Chicago Townhouse,10.0,3,30
Stylish & Bright 3BR 2 Miles From Downtown,10.0,1,10
Portage Park Relaxation,10.0,2,21
Archer 2 - Gorgeous 3 Bedroom 2 Bath with Parking,10.0,2,20
Near O’Hare in Chicago’s Historical Portage Park!,10.0,2,21
"Lovely 2 bedrooms unit in Bridgeport, Chicago",10.0,2,21
House on Huron: Cozy 1 Bedroom Apt. in Chicago!,10.0,3,31
Entire first floor in Lincoln Square!,10.0,2,21
Re-imagined Ukrainian coach house,10.0,2,21
"Cozy 2 bedroom 2 bath home,  near UC-Downtown-Lake",10.0,2,21
Charming 4 Bd 2 Ba 2 Park Duplex in Wrigleyville,10.0,3,32
"Lovely 2 BDR, 3 min walk to train for Downtown/ORD",10.0,2,21
Urban Oasis - no cleaning fee,10.0,3,30
Lovely Renovated Logan Square 3-bedroom condo,10.0,2,20
1BR Beauty in Bucktowns heart w/ Fast 1GB Fiber,10.0,3,31
Very affordable private bedroom in Rogers park.,10.0,2,21
"Entire unit | Quaint Garden Unit
(basement.unit)",10.0,1,10
4 Bedroom with Pool Table steps from Wrigley,10.0,1,10
Brand new rehabbed 2br with in unit laundry,10.0,3,31
Cozy Room in a Chicago Bungalow,10.0,1,10
"UC, McCormick, HydePark002, Chinatown, freeparking",10.0,1,10
Great Location,10.0,4,43
Historic Bronzeville Garden Loft Apt,10.0,3,31
Sunny Place with Restaurants Around the Corner,10.0,4,43
Entire 3 bedrm 2 bath coach house in JeffersonPark,10.0,2,20
VIBES Chicago Private Room,10.0,2,20
Quiet Andersonville near Restaurants and Shopping,10.0,2,21
Logan/Avondale Perfection -2 Min Walk to Blue Line,10.0,4,42
"New King & Queen w 2 Bed, 2 Bath, W/D, Full Kitchen and Queen Sleeper Sofa (304)",10.0,3,32
Heart of Bucktown Private Retreat,10.0,3,30
Cozy Private Room at University of Chicago,10.0,1,10
Cozy Studio In the Middle of Chicago Near Airport,10.0,2,21
Cozy Studio Near Lake 15 mins to Downtown,10.0,2,20
Perfect Cozy Logan Spot Unused),10.0,1,10
Akounamatata,10.0,1,10
Retro-Chic Urban Oasis,10.0,5,51
Spacious Sophisticated Studio Space,10.0,3,32
Wicker Park House w Garage & Hot Tub Best Location,10.0,3,32
Private Bedroom. Private bath. Hyde Park /Kenwood,10.0,2,21
My Bungalow,10.0,3,30
"Chicago Bungalow ""get away"" in the City-6",10.0,3,30
"Nice PRIVATE ROOM, 1 Full bed. Shared bathroom.",10.0,1,10
Sunny 2BR / 1 BA in Hip West Town Location,10.0,2,21
Designer Furnished Family Home,10.0,2,20
Bright and Cozy 2 Bedroom in Irving Park!,10.0,5,53
Couch Surf /Flex Check-in/ Shuttle /Hold Luggage,10.0,3,30
Perfect Northside loc. Wrigley!! Free St Parking!,10.0,2,20
Logan Square Spa,10.0,4,42
Cozy Family Friendly  Home in Chicago (Galewood),10.0,3,31
Cossy room close to lake in Chicago,10.0,1,10
Private room twin K3 mid,10.0,2,20
*The Madison-Modern 2Br 2Ba 12 mins to Downtown,10.0,32,331
MasqueradeSuite 2Bedrooms - 420Friendly FREEPark,10.0,2,21
Fresh and Sunny Bed & Bath by UofC,10.0,21,210
Cute 1-Bdrm Coachouse Apartment in Wicker Park!!,10.0,32,337
Entire Condo Business/Study/Travel near Lake,10.0,1,10
Private Bedroom Near Lake,10.0,1,10
3 Bdrm Vintage Hideaway  Little Italy/ UIC,10.0,32,342
Designer Lakeview Haven. Private Rooftop Oasis!,10.0,7,74
Modern 3BR Apartment with Private Rooftop Patio,9.0,2,18
2BR Live in Style Designer Apt in Festive Boystown,9.0,1,9
Cossy room close to lake in Lakeview Chicago,9.0,1,9
1-bedroom rental with a great view!,9.0,1,9
Boho Chic 2BR Condo With Free Parking,9.0,1,9
Spacious 2BR Apartment near Airport,9.0,1,9
10% Winter Promo! 3BR Sparkling Elegant Apartment,9.0,1,9
Lovely 2Bedroom spacious Boutique suite in Beverly,9.0,1,9
"⭐️ Mario's Pad ⭐️  Arcade, Spa, Pool.",9.0,2,19
Lovely 1 bedroom apartment with indoor pool,9.0,1,9
"Walk to IMD, Eats, Bars | EZ Access + WD | Zencity",9.0,1,9
Luxurious Downtown 3br+2ba unit/Walk to Mag Mile,9.0,2,18
Classic 1BR Close to UChicago & DT by Zen Rentals,9.0,1,9
"Fun, Vintage Apt btwn ORD &Downtown",9.0,2,18
Entire condo minutes from Lake | McCormick Place,9.0,2,19
$_$ Gaming House Retreat + Patio&Free Parking $_$,9.0,2,18
Sunny Getaway Steps from Bucktown + Wicker Park,9.0,2,19
SPACIOUS newly renovated luxurious 5 bedroom stay,9.0,2,18
🏡NEW Entirely Private☀️Bright/Airy- 2 Bdrm Condo,9.0,2,18
i2-Right in front United Center&Next to Downtown,9.0,2,18
Sentral 2 Bedroom Apt in South Loop Chicago,9.0,1,9
#4 Comfy&Convenient room&Shared bath in Uptown,9.0,1,9
Art Park #12 - Mich Ave 2bd Penthouse|gym+rooftop,9.0,2,18
Quiet Bucktown Garden Suite,9.0,2,18
Cozy Respite in the Big City,9.0,1,9
Amazing!!! 3 Bed 2 bath Condo next to Downtown,9.0,2,19
Unique Wrigleyville apt w/exposed brick near Lake!,9.0,2,19
Sunny Loft in Wicker Park,9.0,2,19
"NEW! Stylish, Bright Garden-Level Apt w/ Fireplace",9.0,2,18
Stunning!!! Luxury home away from home awaits you.,9.0,1,9
Cheerful Bedroom in Bridgeport Chicago,9.0,2,18
McCormick Place Spacious 3b/2b parking/sleeps 8,9.0,2,19
McCormick Pl Stylish corner unit/parking/sleeps 6,9.0,2,18
McCormick Pl Skyline view 2br/2ba/parking/sleeps 6,9.0,2,19
Lock Private room in shared apt south loop/Pilsen,9.0,1,9
2/2 Apt in the City | Downtown Chicago,9.0,2,18
H2- A Block to Wrigley Field - UpTo3Guests,9.0,2,19
H4-A Block to Wrigley Field - UpTo5Guests,9.0,2,19
"5min to Wicker, Dtown | Quiet Flat + W&D | Zencity",9.0,1,9
4/2 Home + Foosball Table | Near Wrigley,9.0,2,18
Modern 4 Bedroom Apt Next to Park&Pool | Lakeview,9.0,2,18
"3BR-Full kitchen, Spacious- near Downtown!",9.0,1,9
"M2. Next to Downtown, Best location",9.0,2,19
"2 bed unit, free parking, close to subway , IIT",9.0,2,19
One-of-a-Kind Stylish 4BD Home near United Center,9.0,3,29
Sonder | South Wabash | One-Bedroom Apartment w/ Balcony,9.0,2,18
"L2. Next to Downtown, Best Location",9.0,2,18
Bright and Sunny 2 BR Condo - Wrigley/Lincoln Park,9.0,4,39
"lovely & cozy vintage two bedroom,  🐾 friendly apt",9.0,2,18
Lovely 3 Bedroom Condo near University of Chicago,9.0,2,18
Lovely 4-bedroom apartment! 15 mins from Downtown,9.0,2,19
Archer 3 - 3 Bedroom / 2 Bath with Parking,9.0,2,19
"Quiet, Cozy 1-Bedroom Carriage House in Chicago",9.0,2,19
1bedApt Centrally located and easy transportation,9.0,1,9
Kasa | Spacious Studio Near Gold Coast | Old Town,9.0,2,19
Private Parking+King Beds+Laundry+Office+By O'Hare,9.0,3,27
Heart of Pilsen Apartment,9.0,2,19
Cheerful 3-bedroom townhome in west rogers park!!,9.0,1,9
"Andersonville's Secret Garden: 2 beds, 1 bath",9.0,3,29
"HUGE  Modern Beautiful  2BD/2BA, with Home Office",9.0,2,19
Cheerful 4-bedroom house with patio,9.0,2,19
Stylish Apt near downtown. Ideal for Long Stays.,9.0,2,19
Cozy 1 Bedroom Apartment near Wrigley Field.,9.0,2,19
SUNNY Chicago Private Room,9.0,2,18
Wrigley 2 bedroom 2 bath with free parking & yard!,9.0,3,27
Desirable 3 bedroom home in Lincoln Park.,9.0,3,29
Hyde Park/Kenwood close to UChicago Hospital. Bike,9.0,2,19
Peaceful 2 BR by Lincoln Park Zoo w/ Self-Check-in,9.0,3,29
Explore Chicago from Light-Filled Designer Space,9.0,2,18
Recently renovated 1 bedroom in the best location!,9.0,4,39
Cozy 2Bd Apartment in Pilsen,9.0,3,29
X2. MANSION SHARED COED ROOM (NOT PRIVATE),9.0,2,18
Cute City Hide Away!!!,9.0,3,29
4 Bedroom  in Wrigley Rooftop Building-Grand Slam,9.0,1,9
Beautiful Private Room 5 min to the City,9.0,3,29
Bright & Happy Apartment,9.0,4,37
Justice Hotel at 6018North – Room 2North,9.0,1,9
风城舒适的家,9.0,3,29
The Bohemian Abode,9.0,1,9
3 bdrm |Complimentary Garage Parking| W&D | LUXTEL,9.0,3,29
Perfect Space for Relaxing & Entertaining!,9.0,2,18
The Orleans - Floor 3: Private rooftop deck!,9.0,2,19
Private Bedroom By O’hare & Public Transport,9.0,2,19
Spacious 2BR Lakefront apt w/ Lakeview,9.0,4,36
Peaceful Gem on the Southside - Private Apartment!,9.0,2,18
Magic Factory Loft 2East 4 Bd/3 Ba Families Groups,9.0,3,27
Great 6 BR / 4 BA house for large groups of 12 guests!,9.0,1,9
"King Bed w/Netflix near UofChic, Train & Hyde Park",9.0,2,19
Modern Studio Apt Free Parking Wi-Fi Self Check-In,9.0,4,39
Justice Hotel at 6018North – ROOM 3East,9.0,1,9
